Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23,2001,17.2,2,37,12,32.4,2.16,0.7,0.05,0.17,0,0,Matches
2,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,0,0,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,8.5,2,20,7,35,2.35,0.82,0.1,0.29,0,0,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1998,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,0,0,Matches
5,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,19.5,3,10,5,50,0.51,0.26,0.3,0.6,0,0,Matches
6,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,0.5,0,0,0,,0,0,,,0,0,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,24.7,0,5,1,20,0.2,0.04,0,0,0,0,Matches
8,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,0.7,1,3,1,33.3,4.35,1.45,0.33,1,0,0,Matches
9,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,1,0,0,0,,0,0,,,0,0,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,2.6,0,1,0,0,0.38,0,0,,0,0,Matches
11,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,1.1,0,1,0,0,0.94,0,0,,0,0,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,27.5,7,62,26,41.9,2.26,0.95,0.08,0.19,2,2,Matches
13,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,27.4,10,76,28,36.8,2.77,1.02,0.11,0.29,2,2,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,17.8,2,21,5,23.8,1.18,0.28,0.1,0.4,0,0,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28,1996,21.7,2,19,3,15.8,0.88,0.14,0.11,0.67,0,0,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,26.2,3,27,12,44.4,1.03,0.46,0.11,0.25,0,0,Matches
17,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,7.9,2,22,11,50,2.78,1.39,0.05,0.09,1,2,Matches
18,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,8.4,0,1,0,0,0.12,0,0,,0,0,Matches
19,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,0,0,0,,0,0,,,0,0,Matches
20,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,0.3,0,0,0,,0,0,,,0,0,Matches
21,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,0.2,0,0,0,,0,0,,,0,0,Matches
22,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,1,0,4,1,25,3.96,0.99,0,0,0,0,Matches
23,Ridle Baku,de GER,MF,Wolfsburg,26,1998,13,2,18,6,33.3,1.38,0.46,0.11,0.33,0,0,Matches
24,Ridle Baku,de GER,MF,RB Leipzig,26,1998,14.2,2,17,5,29.4,1.2,0.35,0.12,0.4,0,0,Matches
25,Samuel Bamba,de GER,FW,Bochum,20,2004,0.3,0,2,1,50,6.67,3.33,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Noahkai Banks,us USA,DF,Augsburg,17,2006,3.1,0,1,0,0,0.32,0,0,,0,0,Matches
27,Scott Banks,sct SCO,MF,St Pauli,22,2001,1.3,0,3,0,0,2.33,0,0,,0,0,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,0.8,0,0,0,,0,0,,,0,0,Matches
29,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,3.3,3,5,3,60,1.5,0.9,0.6,1,0,0,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,24,2000,7.3,0,1,1,100,0.14,0.14,0,0,0,0,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28,0,0,0,,0,0,,,0,0,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,17.9,2,39,15,38.5,2.18,0.84,0.05,0.13,0,0,Matches
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,0.1,0,0,0,,0,0,,,0,0,Matches
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,17.8,4,39,13,33.3,2.2,0.73,0.1,0.31,0,0,Matches
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,27.2,0,17,4,23.5,0.63,0.15,0,0,0,0,Matches
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,0.3,0,0,0,,0,0,,,0,0,Matches
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,1.9,1,9,3,33.3,4.76,1.59,0.11,0.33,0,0,Matches
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,17.7,8,42,13,31,2.38,0.74,0.19,0.62,0,0,Matches
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,16,0,12,4,33.3,0.75,0.25,0,0,0,0,Matches
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,0.8,0,0,0,,0,0,,,0,0,Matches
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,6.5,2,19,7,36.8,2.9,1.07,0.11,0.29,0,0,Matches
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,22.5,1,20,2,10,0.89,0.09,0.05,0.5,0,0,Matches
43,Mergim Berisha,de GER,FW,Hoffenheim,26,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,0,0,Matches
44,Mergim Berisha,de GER,FW,Augsburg,26,1998,0.4,0,3,1,33.3,6.75,2.25,0,0,0,0,Matches
45,Bernardo,br BRA,DF,Bochum,29,1995,19.8,0,8,2,25,0.4,0.1,0,0,0,0,Matches
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,14,7,27,14,51.9,1.92,1,0.26,0.5,0,0,Matches
47,Matúš Bero,sk SVK,MF,Bochum,28,1995,28.5,5,32,13,40.6,1.12,0.46,0.16,0.38,0,1,Matches
48,Jan-Niklas Beste,de GER,"DF,MF",Freiburg,25,1999,2.4,0,6,2,33.3,2.55,0.85,0,0,0,0,Matches
49,El Bilal Touré,ml MLI,FW,Stuttgart,22,2001,4,2,14,4,28.6,3.54,1.01,0.14,0.5,0,0,Matches
50,Tom Bischof,de GER,MF,Hoffenheim,19,2005,28.4,5,51,18,35.3,1.79,0.63,0.1,0.28,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,1993,10.9,2,27,9,33.3,2.47,0.82,0.07,0.22,0,0,Matches
52,Myron Boadu,nl NED,FW,Bochum,23,2001,11.6,9,28,15,53.6,2.42,1.3,0.29,0.53,1,1,Matches
53,Sacha Boey,fr FRA,DF,Bayern Munich,23,2000,6.6,0,3,1,33.3,0.46,0.15,0,0,0,0,Matches
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,8,51,18,35.3,4.55,1.61,0.16,0.44,0,1,Matches
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,2,8,3,37.5,0.91,0.34,0.25,0.67,0,0,Matches
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,2,21,4,19,1.15,0.22,0.1,0.5,0,0,Matches
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,5,45,15,33.3,1.76,0.59,0.11,0.33,0,0,Matches
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,0,1,0,0,0.75,0,0,,0,0,Matches
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,2,11,3,27.3,2.83,0.77,0.09,0.33,1,1,Matches
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,1,38,12,31.6,2.46,0.78,0.03,0.08,0,0,Matches
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,3,13,5,38.5,0.6,0.23,0.23,0.6,0,0,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,2,14,7,50,3.15,1.58,0.14,0.29,0,0,Matches
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,1,6,3,50,1.3,0.65,0.17,0.33,0,0,Matches
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,2,7,4,57.1,2.45,1.4,0.29,0.5,0,0,Matches
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,7,38,16,42.1,1.98,0.83,0.18,0.44,0,0,Matches
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,18,72,30,41.7,3.07,1.28,0.22,0.53,2,2,Matches
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,5,35,13,37.1,3.47,1.29,0.14,0.38,0,0,Matches
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,0,13,3,23.1,0.84,0.19,0,0,0,0,Matches
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,1,32,12,37.5,1.07,0.4,0.03,0.08,0,0,Matches
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,0,0,0,,0,0,,,0,0,Matches
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,3,9,3,33.3,0.38,0.13,0.11,0.33,2,2,Matches
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,0,0,0,,0,0,,,0,0,Matches
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,0,0,0,,0,0,,,0,0,Matches
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,3,19,4,21.1,0.75,0.16,0.16,0.75,0,0,Matches
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,12.6,0,5,3,60,0.4,0.24,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,11.3,1,25,6,24,2.22,0.53,0.04,0.17,0,0,Matches
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,0,0,0,,0,0,,,0,0,Matches
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,0,5,0,0,0.61,0,0,,0,0,Matches
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,1,11,2,18.2,0.45,0.08,0.09,0.5,0,0,Matches
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,1,4,1,25,0.95,0.24,0.25,1,0,0,Matches
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,1,8,2,25,2.85,0.71,0.13,0.5,0,0,Matches
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0,Matches
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,1,5,2,40,0.3,0.12,0.2,0.5,0,0,Matches
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,0,0,Matches
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,1,13,5,38.5,1.31,0.5,0.08,0.2,0,0,Matches
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,0,5,1,20,0.22,0.04,0,0,0,0,Matches
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,0,6,2,33.3,0.6,0.2,0,0,0,0,Matches
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,2,24,9,37.5,2.6,0.97,0.08,0.22,0,0,Matches
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,0,0,0,,0,0,,,0,0,Matches
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,0,0,0,,0,0,,,0,0,Matches
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4,1,7,2,28.6,1.73,0.49,0.14,0.5,0,0,Matches
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,0,1,0,0,0.21,0,0,,0,0,Matches
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1,0,0,Matches
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,1,9,6,66.7,1.97,1.31,0.11,0.17,0,1,Matches
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,0,0,Matches
96,Olivier Deman,be BEL,"FW,MF",Werder Bremen,24,2000,0.7,0,0,0,,0,0,,,0,0,Matches
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,15,65,30,46.2,3.15,1.46,0.23,0.5,0,2,Matches
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1,0,0,Matches
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,2,9,6,66.7,0.55,0.37,0.22,0.33,0,0,Matches
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,0,8,0,0,2.46,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,0,14,3,21.4,1.05,0.23,0,0,0,0,Matches
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,10,61,23,37.7,1.92,0.72,0.16,0.43,0,0,Matches
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34,1,32,4,12.5,0.94,0.12,0.03,0.25,0,0,Matches
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,0,0,0,,0,0,,,0,0,Matches
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,2,9,3,33.3,0.61,0.2,0.22,0.67,0,0,Matches
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21,0,0,0,,0,0,,,0,0,Matches
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4,0,2,2,100,0.5,0.5,0,0,0,0,Matches
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,8,71,29,40.8,2.64,1.08,0.1,0.24,1,2,Matches
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,0,5,2,40,1.59,0.64,0,0,0,0,Matches
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,0,6,0,0,1.45,0,0,,0,0,Matches
111,Johannes Eggestein,de GER,FW,St Pauli,26,1998,20.6,3,36,13,36.1,1.75,0.63,0.06,0.15,1,2,Matches
112,Maximilian Eggestein,de GER,MF,Freiburg,27,1996,31.6,2,36,12,33.3,1.14,0.38,0.06,0.17,0,0,Matches
113,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,22,2002,28.5,15,117,48,41,4.11,1.69,0.12,0.29,1,3,Matches
114,Elif Elmas,mk MKD,"FW,MF",RB Leipzig,24,1999,0.5,0,2,1,50,4.09,2.05,0,0,0,0,Matches
115,Nico Elvedi,ch SUI,DF,Gladbach,27,1996,23.7,1,12,4,33.3,0.51,0.17,0.08,0.25,0,0,Matches
116,Arne Engels,be BEL,FW,Augsburg,20,2003,0.9,0,3,1,33.3,3.42,1.14,0,0,0,0,Matches
117,Patrick Erras,de GER,DF,Holstein Kiel,29,1995,9.2,1,8,1,12.5,0.87,0.11,0.13,1,0,0,Matches
118,Samuel Essende,cd COD,FW,Augsburg,26,1998,18.2,7,44,13,29.5,2.42,0.72,0.16,0.54,0,0,Matches
119,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,,0,0,,,0,0,Matches
120,Kilian Fischer,de GER,DF,Wolfsburg,23,2000,25.5,1,6,1,16.7,0.24,0.04,0.17,1,0,0,Matches
121,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,28,1996,20.4,0,8,1,12.5,0.39,0.05,0,0,0,0,Matches
122,Marco Friedl,at AUT,DF,Werder Bremen,26,1998,24,0,4,3,75,0.17,0.12,0,0,0,0,Matches
123,Marvin Friedrich,de GER,DF,Gladbach,28,1995,11,0,7,2,28.6,0.64,0.18,0,0,0,0,Matches
124,Jeremie Frimpong,nl NED,MF,Leverkusen,23,2000,25.7,5,34,16,47.1,1.32,0.62,0.15,0.31,0,0,Matches
125,Chris Führich,de GER,MF,Stuttgart,26,1998,22,2,36,12,33.3,1.64,0.55,0.06,0.17,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Shiō Fukuda,jp JPN,FW,Gladbach,20,2004,0.7,1,3,1,33.3,4.5,1.5,0.33,1,0,0,Matches
127,Cristian Gamboa,cr CRC,MF,Bochum,34,1989,2.5,1,4,1,25,1.59,0.4,0.25,1,0,0,Matches
128,Aleix García,es ESP,MF,Leverkusen,27,1997,16.2,3,15,5,33.3,0.93,0.31,0.2,0.6,0,0,Matches
129,Viggo Gebel,de GER,MF,RB Leipzig,16,2007,0.2,0,0,0,,0,0,,,0,0,Matches
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,2000,17.3,1,8,2,25,0.46,0.12,0.13,0.5,0,0,Matches
131,Dennis Geiger,de GER,MF,Hoffenheim,26,1998,8.2,0,5,1,20,0.61,0.12,0,0,0,0,Matches
132,Valentin Gendrey,fr FRA,"DF,MF",Hoffenheim,24,2000,15.7,1,10,5,50,0.64,0.32,0.1,0.2,0,0,Matches
133,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,1994,16.9,1,15,4,26.7,0.89,0.24,0.07,0.25,0,0,Matches
134,Max Geschwill,de GER,DF,Holstein Kiel,23,2001,14.2,1,9,2,22.2,0.63,0.14,0.11,0.5,0,0,Matches
135,Dimitris Giannoulis,gr GRE,MF,Augsburg,28,1995,29.4,1,13,4,30.8,0.44,0.14,0.08,0.25,0,0,Matches
136,Armin Gigovic,ba BIH,MF,Holstein Kiel,22,2002,21.1,5,26,11,42.3,1.23,0.52,0.19,0.45,0,0,Matches
137,Benedikt Gimber,de GER,DF,Heidenheim,27,1997,29.7,0,13,1,7.7,0.44,0.03,0,0,0,0,Matches
138,Matthias Ginter,de GER,DF,Freiburg,30,1994,28.5,2,24,4,16.7,0.84,0.14,0.08,0.5,0,0,Matches
139,Jamie Gittens,eng ENG,MF,Dortmund,19,2004,19.7,8,52,24,46.2,2.64,1.22,0.15,0.33,0,0,Matches
140,Serge Gnabry,de GER,"MF,FW",Bayern Munich,29,1995,13.8,7,49,18,36.7,3.55,1.3,0.14,0.39,0,1,Matches
141,Tidiam Gomis,fr FRA,FW,RB Leipzig,17,2006,1.7,0,5,1,20,2.96,0.59,0,0,0,0,Matches
142,Leon Goretzka,de GER,MF,Bayern Munich,29,1995,14.7,4,32,11,34.4,2.17,0.75,0.13,0.36,0,0,Matches
143,Robin Gosens,de GER,MF,Union Berlin,30,1994,1,0,1,0,0,1,0,0,,0,0,Matches
144,Mario Götze,de GER,MF,Eintracht Frankfurt,32,1992,17.1,3,8,5,62.5,0.47,0.29,0.38,0.6,0,0,Matches
145,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33,1991,32.7,1,18,5,27.8,0.55,0.15,0.06,0.2,0,1,Matches
146,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,0,0,0,,0,0,,,0,0,Matches
147,Michael Gregoritsch,at AUT,FW,Freiburg,30,1994,7.1,2,16,6,37.5,2.25,0.85,0.13,0.33,0,0,Matches
148,Vincenzo Grifo,it ITA,MF,Freiburg,31,1993,27,8,66,29,43.9,2.44,1.07,0.12,0.28,0,3,Matches
149,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28,1995,6.7,0,6,1,16.7,0.9,0.15,0,0,0,0,Matches
150,Álex Grimaldo,es ESP,MF,Leverkusen,28,1995,29.3,2,44,14,31.8,1.5,0.48,0.05,0.14,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Pascal Groß,de GER,"MF,DF",Dortmund,33,1991,25.9,0,27,7,25.9,1.04,0.27,0,0,0,0,Matches
152,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26,1998,13.1,6,25,10,40,1.91,0.76,0.24,0.6,0,0,Matches
153,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,30,1993,17.5,4,21,11,52.4,1.2,0.63,0.19,0.36,0,0,Matches
154,Morgan Guilavogui,gn GUI,"FW,MF",St Pauli,26,1998,20.1,6,41,15,36.6,2.04,0.75,0.15,0.4,0,0,Matches
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,28.9,21,89,37,41.6,3.08,1.28,0.2,0.49,3,4,Matches
156,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,0,0,0,,0,0,,,0,0,Matches
157,Robert Gumny,pl POL,MF,Augsburg,26,1998,3,0,4,2,50,1.33,0.66,0,0,0,0,Matches
158,Christian Günter,de GER,DF,Freiburg,31,1993,25.7,2,20,6,30,0.78,0.23,0.1,0.33,0,0,Matches
159,Janik Haberer,de GER,MF,Union Berlin,30,1994,18.8,0,15,3,20,0.8,0.16,0,0,0,0,Matches
160,Robin Hack,de GER,MF,Gladbach,25,1998,24.1,4,58,24,41.4,2.4,0.99,0.07,0.17,0,0,Matches
161,Amadou Haidara,ml MLI,MF,RB Leipzig,26,1998,14.7,0,18,2,11.1,1.23,0.14,0,0,0,0,Matches
