,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
488,Liam Morrison,sct SCO,DF,Queens Park Rangers,21,2003,14.5,0,8,0,0,0.55,0,0,,0,0,Matches,,,,,,,,
489,Victor Moses,ng NGA,MF,Luton Town,33,1990,12.6,1,12,2,16.7,0.95,0.16,0.08,0.5,0,0,Matches,,,,,,,,
490,Alex Mowatt,eng ENG,MF,West Bromwich Albion,29,1995,37.2,7,30,10,33.3,0.81,0.27,0.23,0.7,0,0,Matches,,,,,,,,
491,Owen Moxon,eng ENG,MF,Portsmouth,26,1998,3.1,0,4,3,75,1.31,0.98,0,0,0,0,Matches,,,,,,,,
492,Bali Mumba,eng ENG,"MF,DF",Plymouth Argyle,22,2001,37.7,0,22,3,13.6,0.58,0.08,0,0,0,0,Matches,,,,,,,,
493,Romaine Mundle,eng ENG,"MF,FW",Sunderland,21,2003,15.9,5,35,12,34.3,2.2,0.75,0.14,0.42,0,0,Matches,,,,,,,,
494,Josh Murphy,eng ENG,MF,Portsmouth,29,1995,38.1,7,107,31,29,2.81,0.81,0.07,0.23,0,0,Matches,,,,,,,,
495,Anthony Musaba,nl NED,"MF,FW",Sheffield Weds,23,2000,14.8,3,32,10,31.3,2.17,0.68,0.09,0.3,0,0,Matches,,,,,,,,
496,Elliot Myles,wls WAL,FW,Norwich City,17,2007,0.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
497,Amin Nabizada,eng ENG,FW,Watford,17,2007,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
498,Kal Naismith,sct SCO,DF,Bristol City,32,1992,3.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
499,Kal Naismith,sct SCO,"DF,MF",Luton Town,32,1992,5.1,0,3,0,0,0.58,0,0,,0,0,Matches,,,,,,,,
500,Marvelous Nakamba,zw ZIM,MF,Luton Town,30,1994,14.4,0,2,0,0,0.14,0,0,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
501,Paul Nardi,fr FRA,GK,Queens Park Rangers,30,1994,45,0,2,2,100,0.04,0.04,0,0,0,0,Matches,,,,,,,,
502,Kyle Naughton,eng ENG,DF,Swansea City,35,1988,9.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
503,Camiel Neghli,nl NED,MF,Millwall,22,2001,2.1,1,7,6,85.7,3.26,2.8,0.14,0.17,0,0,Matches,,,,,,,,
504,Dan Neil,eng ENG,MF,Sunderland,22,2001,43.1,2,24,5,20.8,0.56,0.12,0.08,0.4,0,0,Matches,,,,,,,,
505,Benjamin Nelson,eng ENG,DF,Oxford United,20,2004,15.2,1,4,2,50,0.26,0.13,0.25,0.5,0,0,Matches,,,,,,,,
506,Curtis Nelson,eng ENG,DF,Derby County,31,1993,27,2,20,7,35,0.74,0.26,0.1,0.29,0,0,Matches,,,,,,,,
507,Zack Nelson,eng ENG,"MF,FW",Luton Town,19,2004,8.9,0,9,1,11.1,1.01,0.11,0,0,0,0,Matches,,,,,,,,
508,Perry Ng,eng ENG,DF,Cardiff City,28,1996,31,1,25,7,28,0.81,0.23,0.04,0.14,0,0,Matches,,,,,,,,
509,Jeremy Ngakia,,"DF,MF",Watford,23,2000,20.9,1,17,3,17.6,0.81,0.14,0.06,0.33,0,0,Matches,,,,,,,,
510,Kevin Nisbet,sct SCO,FW,Millwall,27,1997,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
511,Lasse Nordås,no NOR,FW,Luton Town,22,2002,2.8,0,8,0,0,2.82,0,0,,0,0,Matches,,,,,,,,
512,Casper de Norre,be BEL,MF,Millwall,27,1997,40.1,3,30,7,23.3,0.75,0.17,0.1,0.43,0,0,Matches,,,,,,,,
513,Rhys Norrington-Davies,wls WAL,DF,Sheffield United,25,1999,2.8,0,1,0,0,0.36,0,0,,0,0,Matches,,,,,,,,
514,Will Norris,eng ENG,GK,Portsmouth,30,1993,8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
515,Marcelino Núñez,cl CHI,MF,Norwich City,24,2000,24.9,6,56,17,30.4,2.24,0.68,0.11,0.35,0,0,Matches,,,,,,,,
516,Tanatswa Nyakuhwa,wls WAL,FW,Cardiff City,18,2005,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
517,Ryan Nyambe,na NAM,"DF,MF",Derby County,26,1997,12.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
518,Lewis O'Brien,eng ENG,MF,Swansea City,25,1998,15.8,1,23,7,30.4,1.46,0.44,0.04,0.14,0,0,Matches,,,,,,,,
519,Gatlin O'Donkor,eng ENG,FW,Oxford United,19,2004,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
520,Callum O'Dowda,ie IRL,"DF,MF",Cardiff City,29,1995,39.4,2,27,9,33.3,0.69,0.23,0.07,0.22,0,0,Matches,,,,,,,,
521,Callum O'Hare,eng ENG,MF,Sheffield United,26,1998,34.9,2,40,12,30,1.15,0.34,0.05,0.17,0,0,Matches,,,,,,,,
522,Max O'Leary,ie IRL,GK,Bristol City,27,1996,46,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
523,Mark O'Mahony,ie IRL,FW,Portsmouth,19,2005,6.6,3,10,4,40,1.51,0.61,0.3,0.75,0,0,Matches,,,,,,,,
524,Luke O'Nien,eng ENG,DF,Sunderland,29,1994,43.7,3,17,6,35.3,0.39,0.14,0.18,0.5,0,1,Matches,,,,,,,,
525,Dara O'Shea,ie IRL,DF,Burnley,25,1999,2,1,4,2,50,2,1,0.25,0.5,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
526,Michael Obafemi,ie IRL,"FW,MF",Plymouth Argyle,24,2000,13.3,2,15,5,33.3,1.13,0.38,0.13,0.4,0,0,Matches,,,,,,,,
527,Wilson Odobert,fr FRA,MF,Burnley,19,2004,1,1,3,1,33.3,3.03,1.01,0.33,1,0,0,Matches,,,,,,,,
528,Chiedozie Ogbene,ie IRL,MF,Luton Town,27,1997,2.7,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
529,Nathanael Ogbeta,eng ENG,"MF,DF",Plymouth Argyle,23,2001,7,1,4,1,25,0.58,0.14,0.25,1,0,0,Matches,,,,,,,,
530,Angelo Ogbonna,it ITA,DF,Watford,36,1988,4.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
531,Connor Ogilvie,eng ENG,DF,Portsmouth,28,1996,44.8,4,39,9,23.1,0.87,0.2,0.1,0.44,0,0,Matches,,,,,,,,
532,Yuki Ohashi,jp JPN,"FW,MF",Blackburn Rovers,28,1996,24.7,9,52,19,36.5,2.11,0.77,0.17,0.47,0,0,Matches,,,,,,,,
533,Jeppe Okkels,dk DEN,MF,Preston North End,25,1999,1.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
534,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25,1999,11.8,0,8,3,37.5,0.68,0.25,0,0,0,0,Matches,,,,,,,,
535,Ryan One,sct SCO,FW,Sheffield United,18,2006,3.2,1,8,2,25,2.47,0.62,0.13,0.5,0,0,Matches,,,,,,,,
536,Ben Osborn,eng ENG,"MF,DF",Derby County,29,1994,18.9,0,6,0,0,0.32,0,0,,0,0,Matches,,,,,,,,
537,Milutin Osmajić,me MNE,FW,Preston North End,25,1999,21.3,9,43,18,41.9,2.02,0.84,0.21,0.5,0,0,Matches,,,,,,,,
538,Gabriel Otegbayo,,DF,Sheffield Weds,,,5.3,1,3,2,66.7,0.56,0.37,0.33,0.5,0,0,Matches,,,,,,,,
539,David Ozoh,eng ENG,MF,Derby County,19,2005,7.8,1,6,2,33.3,0.77,0.26,0.17,0.5,0,0,Matches,,,,,,,,
540,Kenneth Paal,sr SUR,DF,Queens Park Rangers,27,1997,32,1,16,6,37.5,0.5,0.19,0.06,0.17,0,0,Matches,,,,,,,,
541,Marlon Pack,eng ENG,"DF,MF",Portsmouth,33,1991,30.1,0,13,2,15.4,0.43,0.07,0,0,0,0,Matches,,,,,,,,
542,Alex Palmer,eng ENG,GK,West Bromwich Albion,27,1996,30,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
543,Kasey Palmer,jm JAM,MF,Hull City,27,1996,12.1,1,23,9,39.1,1.91,0.75,0.04,0.11,0,1,Matches,,,,,,,,
544,Kasey Palmer,jm JAM,MF,Coventry City,27,1996,0.6,1,3,1,33.3,5,1.67,0.33,1,0,0,Matches,,,,,,,,
545,Liam Palmer,sct SCO,"DF,MF",Sheffield Weds,32,1991,9.7,0,4,1,25,0.41,0.1,0,0,0,0,Matches,,,,,,,,
546,Victor Pálsson,is ISL,DF,Plymouth Argyle,33,1991,19.3,0,5,1,20,0.26,0.05,0,0,0,0,Matches,,,,,,,,
547,Ivor Pandur,hr CRO,GK,Hull City,24,2000,44,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
548,Samuel Parker,wls WAL,DF,Swansea City,18,2006,1,0,2,0,0,2.09,0,0,,0,0,Matches,,,,,,,,
549,Callum Paterson,sct SCO,"MF,FW",Sheffield Weds,29,1994,13.2,6,26,9,34.6,1.97,0.68,0.23,0.67,0,0,Matches,,,,,,,,
550,Jamie Paterson,eng ENG,"FW,MF",Coventry City,32,1991,0.9,1,2,1,50,2.28,1.14,0.5,1,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
551,Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42,0,1,1,100,0.02,0.02,0,0,0,0,Matches,,,,,,,,
552,Aynsley Pears,eng ENG,GK,Blackburn Rovers,26,1998,40,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
553,Ben Pearson,eng ENG,MF,Stoke City,29,1995,6.3,0,1,0,0,0.16,0,0,,0,0,Matches,,,,,,,,
554,Myles Peart-Harris,eng ENG,MF,Swansea City,21,2002,18.5,3,24,9,37.5,1.3,0.49,0.13,0.33,0,0,Matches,,,,,,,,
555,Sydie Peck,eng ENG,MF,Sheffield United,19,2004,32.5,0,39,11,28.2,1.2,0.34,0,0,0,0,Matches,,,,,,,,
556,João Pedro,it ITA,FW,Hull City,32,1992,23.8,6,34,13,38.2,1.43,0.55,0.18,0.46,0,0,Matches,,,,,,,,
557,Ashley Phillips,wls WAL,DF,Stoke City,19,2005,34.2,0,12,5,41.7,0.35,0.15,0,0,0,0,Matches,,,,,,,,
558,Joshua Phillips,eng ENG,MF,Luton Town,18,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
559,Matt Phillips,sct SCO,"MF,DF",Oxford United,33,1991,10.6,0,7,2,28.6,0.66,0.19,0,0,0,0,Matches,,,,,,,,
560,Nathaniel Phillips,eng ENG,DF,Derby County,27,1997,24.8,1,25,3,12,1.01,0.12,0.04,0.33,0,0,Matches,,,,,,,,
561,Harry Pickering,eng ENG,DF,Blackburn Rovers,25,1998,11.5,0,3,1,33.3,0.26,0.09,0,0,0,0,Matches,,,,,,,,
562,Erik Pieters,nl NED,"DF,MF",Derby County,35,1988,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
563,Joël Piroe,nl NED,FW,Leeds United,24,1999,34.2,19,102,41,40.2,2.98,1.2,0.18,0.44,1,1,Matches,,,,,,,,
564,Julio Pleguezuelo,es ESP,DF,Plymouth Argyle,27,1997,21.8,1,4,1,25,0.18,0.05,0.25,1,0,0,Matches,,,,,,,,
565,Matthew Pollock,eng ENG,DF,Watford,22,2001,42.4,2,27,8,29.6,0.64,0.19,0.07,0.25,0,0,Matches,,,,,,,,
566,Regan Poole,wls WAL,DF,Portsmouth,26,1998,23.8,1,5,3,60,0.21,0.13,0.2,0.33,0,0,Matches,,,,,,,,
567,Ryan Porteous,sct SCO,DF,Preston North End,25,1999,9.1,1,8,2,25,0.87,0.22,0.13,0.5,0,0,Matches,,,,,,,,
568,Ryan Porteous,sct SCO,DF,Watford,25,1999,18.5,2,9,2,22.2,0.49,0.11,0.22,1,0,0,Matches,,,,,,,,
569,Brad Potts,eng ENG,"MF,DF",Preston North End,30,1994,22.8,4,29,10,34.5,1.27,0.44,0.14,0.4,0,0,Matches,,,,,,,,
570,Freddie Potts,eng ENG,MF,Portsmouth,20,2003,34,1,21,4,19,0.62,0.12,0.05,0.25,0,0,Matches,,,,,,,,
571,Ian Poveda,eng ENG,"FW,MF",Sunderland,24,2000,1,0,2,0,0,2.09,0,0,,0,0,Matches,,,,,,,,
572,Isaac Price,nir NIR,MF,West Bromwich Albion,20,2003,11.7,1,16,4,25,1.37,0.34,0.06,0.25,0,0,Matches,,,,,,,,
573,Cameron Pring,eng ENG,"DF,MF",Bristol City,26,1998,24.8,0,7,2,28.6,0.28,0.08,0,0,0,0,Matches,,,,,,,,
574,Tymoteusz Puchacz,pl POL,"MF,DF",Plymouth Argyle,25,1999,12.5,0,3,0,0,0.24,0,0,,0,0,Matches,,,,,,,,
575,Gustavo Puerta,co COL,MF,Hull City,21,2003,21,0,22,4,18.2,1.05,0.19,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
576,Przemysław Płacheta,pl POL,MF,Oxford United,26,1998,23,3,49,13,26.5,2.13,0.56,0.06,0.23,0,0,Matches,,,,,,,,
577,Uroš Račić,rs SRB,MF,West Bromwich Albion,26,1998,10.2,0,21,5,23.8,2.06,0.49,0,0,0,0,Matches,,,,,,,,
578,Mileta Rajovic,dk DEN,FW,Watford,25,1999,0.5,1,2,1,50,3.91,1.96,0.5,1,0,0,Matches,,,,,,,,
579,Jesurun Rak Sakyi,eng ENG,MF,Sheffield United,21,2002,19.2,7,46,17,37,2.4,0.89,0.15,0.41,0,0,Matches,,,,,,,,
580,Joe Ralls,eng ENG,MF,Cardiff City,30,1993,12.8,0,15,4,26.7,1.18,0.31,0,0,0,0,Matches,,,,,,,,
581,Largie Ramazani,be BEL,MF,Leeds United,23,2001,8.9,6,36,16,44.4,4.07,1.81,0.17,0.38,0,0,Matches,,,,,,,,
582,Aaron Ramsey,wls WAL,MF,Cardiff City,33,1990,6.2,0,10,5,50,1.62,0.81,0,0,0,0,Matches,,,,,,,,
583,Aaron Ramsey,eng ENG,MF,Burnley,21,2003,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
584,Adam Randell,eng ENG,MF,Plymouth Argyle,23,2000,37.5,1,30,7,23.3,0.8,0.19,0.03,0.14,0,0,Matches,,,,,,,,
585,Joe Rankin-Costello,eng ENG,"DF,MF",Blackburn Rovers,25,1999,13.9,2,21,8,38.1,1.51,0.58,0.1,0.25,0,0,Matches,,,,,,,,
586,Nathan Redmond,eng ENG,"FW,MF",Burnley,30,1994,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
587,Michael Reindorf,eng ENG,MF,Cardiff City,19,2005,0.6,0,1,0,0,1.73,0,0,,0,0,Matches,,,,,,,,
588,Vicente Reyes,cl CHI,GK,Norwich City,20,2003,3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
589,Yuri Ribeiro,pt POR,DF,Blackburn Rovers,27,1997,15,0,8,0,0,0.53,0,0,,0,0,Matches,,,,,,,,
590,Chris Rigg,eng ENG,"MF,FW",Sunderland,17,2007,33.9,4,48,14,29.2,1.41,0.41,0.08,0.29,0,0,Matches,,,,,,,,
591,Emil Riis Jakobsen,dk DEN,FW,Preston North End,26,1998,30.2,12,72,31,43.1,2.39,1.03,0.17,0.39,0,0,Matches,,,,,,,,
592,Andy Rinomhota,zw ZIM,"MF,DF",Cardiff City,27,1997,23.4,0,6,1,16.7,0.26,0.04,0,0,0,0,Matches,,,,,,,,
593,Matt Ritchie,sct SCO,MF,Portsmouth,34,1989,24.3,5,41,17,41.5,1.68,0.7,0.12,0.29,0,0,Matches,,,,,,,,
594,Caleb Roberts,eng ENG,MF,Plymouth Argyle,19,2004,2.1,0,3,0,0,1.41,0,0,,0,0,Matches,,,,,,,,
595,Connor Roberts,wls WAL,DF,Burnley,28,1995,40.4,2,27,6,22.2,0.67,0.15,0.07,0.33,0,0,Matches,,,,,,,,
596,Haydon Roberts,eng ENG,"MF,DF",Bristol City,22,2002,18.2,1,7,2,28.6,0.39,0.11,0.14,0.5,0,0,Matches,,,,,,,,
597,Liam Roberts,eng ENG,GK,Millwall,29,1994,1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
598,Patrick Roberts,eng ENG,"MF,FW",Sunderland,27,1997,36.4,2,79,18,22.8,2.17,0.49,0.01,0.06,1,2,Matches,,,,,,,,
599,Alexander Robertson,au AUS,MF,Cardiff City,21,2003,26.8,3,18,7,38.9,0.67,0.26,0.17,0.43,0,0,Matches,,,,,,,,
600,Callum Robinson,ie IRL,FW,Cardiff City,29,1995,22.5,12,57,26,45.6,2.54,1.16,0.21,0.46,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
601,Jack Robinson,eng ENG,DF,Sheffield United,30,1993,31.6,0,13,2,15.4,0.41,0.06,0,0,0,0,Matches,,,,,,,,
602,Joe Rodon,wls WAL,DF,Leeds United,26,1997,45.9,1,21,2,9.5,0.46,0.04,0.05,0.5,0,0,Matches,,,,,,,,
603,Ruben Rodrigues,pt POR,MF,Oxford United,27,1996,25,4,36,10,27.8,1.44,0.4,0.11,0.4,0,0,Matches,,,,,,,,
604,Jay Rodriguez,eng ENG,FW,Burnley,35,1989,8.3,2,13,3,23.1,1.57,0.36,0.08,0.33,1,1,Matches,,,,,,,,
605,Ole Romeny,id IDN,"FW,MF",Oxford United,24,2000,6.6,1,5,3,60,0.76,0.46,0.2,0.33,0,0,Matches,,,,,,,,
606,Ronald,br BRA,MF,Swansea City,23,2001,41.8,2,51,16,31.4,1.22,0.38,0.04,0.13,0,0,Matches,,,,,,,,
607,Kemar Roofe,jm JAM,"FW,MF",Derby County,31,1993,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
608,Michael Rose,sct SCO,DF,Stoke City,28,1995,14.4,0,3,0,0,0.21,0,0,,0,0,Matches,,,,,,,,
609,Joe Rothwell,eng ENG,MF,Leeds United,29,1995,25,0,13,2,15.4,0.52,0.08,0,0,0,0,Matches,,,,,,,,
610,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,31,1993,2.5,0,2,0,0,0.79,0,0,,0,0,Matches,,,,,,,,
611,Jack Rudoni,eng ENG,MF,Coventry City,24,2000,38.9,9,75,29,38.7,1.93,0.75,0.12,0.31,0,0,Matches,,,,,,,,
612,Carl Rushworth,eng ENG,GK,Hull City,23,2001,2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
613,Nazariy Rusyn,ua UKR,"FW,MF",Sunderland,25,1998,0.8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
614,Georginio Rutter,fr FRA,MF,Leeds United,22,2002,1,0,2,1,50,2,1,0,0,0,0,Matches,,,,,,,,
615,Sai Sachdev,eng ENG,DF,Sheffield United,19,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
616,Borja Sainz,es ESP,"FW,MF",Norwich City,23,2001,40.1,18,119,51,42.9,2.97,1.27,0.15,0.35,0,0,Matches,,,,,,,,
617,Koki Saito,jp JPN,MF,Queens Park Rangers,22,2001,25.5,3,38,10,26.3,1.49,0.39,0.08,0.3,0,0,Matches,,,,,,,,
618,Tatsuhiro Sakamoto,jp JPN,"MF,FW",Coventry City,27,1996,28.7,4,34,9,26.5,1.18,0.31,0.12,0.44,0,0,Matches,,,,,,,,
619,Yousef Salech,dk DEN,FW,Cardiff City,22,2002,14.2,8,45,21,46.7,3.17,1.48,0.16,0.33,1,1,Matches,,,,,,,,
620,Lars-Jørgen Salvesen,no NOR,FW,Derby County,28,1996,5.4,1,13,8,61.5,2.4,1.48,0.08,0.13,0,0,Matches,,,,,,,,
621,Shurandy Sambo,cw CUW,DF,Burnley,22,2001,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
622,Dion Sanderson,eng ENG,DF,Blackburn Rovers,24,1999,6.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
623,Hevertton Santos,br BRA,DF,Queens Park Rangers,23,2001,3.5,0,2,1,50,0.56,0.28,0,0,0,0,Matches,,,,,,,,
624,Josh Sargent,us USA,FW,Norwich City,24,2000,27.8,15,64,29,45.3,2.3,1.04,0.22,0.48,1,2,Matches,,,,,,,,
625,Jeremy Sarmiento,ec ECU,MF,Burnley,22,2002,13,4,27,11,40.7,2.08,0.85,0.15,0.36,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
626,George Saville,nir NIR,MF,Millwall,31,1993,36.7,1,37,5,13.5,1.01,0.14,0.03,0.2,0,0,Matches,,,,,,,,
627,Christian Saydee,lr LBR,"MF,FW",Portsmouth,22,2002,12.8,3,20,8,40,1.56,0.62,0.15,0.38,0,0,Matches,,,,,,,,
628,Calum Scanlon,eng ENG,MF,Millwall,19,2005,1.9,1,3,1,33.3,1.62,0.54,0.33,1,0,0,Matches,,,,,,,,
629,Dane Scarlett,eng ENG,FW,Oxford United,20,2004,8.8,4,12,7,58.3,1.36,0.8,0.33,0.57,0,0,Matches,,,,,,,,
630,Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,34.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
631,Isaac Schmidt,ch SUI,"DF,MF",Leeds United,24,1999,0.9,0,2,1,50,2.31,1.15,0,0,0,0,Matches,,,,,,,,
632,Oscar Schwartau,dk DEN,"MF,FW",Norwich City,18,2006,17.4,1,22,7,31.8,1.27,0.4,0.05,0.14,0,0,Matches,,,,,,,,
633,Jenson Seelt,nl NED,DF,Sunderland,21,2003,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
634,Tatsuki Seko,jp JPN,MF,Stoke City,26,1997,17.7,0,9,1,11.1,0.51,0.06,0,0,0,0,Matches,,,,,,,,
635,Tyrell Sellars-Fleming,eng ENG,MF,Hull City,19,2005,0.1,0,1,0,0,11.25,0,0,,0,0,Matches,,,,,,,,
636,Egil Selvik,no NOR,GK,Watford,27,1997,16,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
637,Ken Sema,se SWE,MF,Watford,30,1993,5.8,0,4,2,50,0.69,0.35,0,0,0,0,Matches,,,,,,,,
638,Femi Seriki,eng ENG,DF,Sheffield United,22,2002,12.1,0,8,3,37.5,0.66,0.25,0,0,0,0,Matches,,,,,,,,
639,Jamie Shackleton,eng ENG,"MF,DF",Sheffield United,24,1999,3.2,0,4,2,50,1.24,0.62,0,0,0,0,Matches,,,,,,,,
640,Conor Shaughnessy,ie IRL,DF,Portsmouth,28,1996,5.7,1,6,4,66.7,1.05,0.7,0.17,0.25,0,0,Matches,,,,,,,,
641,James Shea,eng ENG,GK,Luton Town,33,1991,1.6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
642,Ben Sheaf,eng ENG,MF,Coventry City,26,1998,23.7,0,32,6,18.8,1.35,0.25,0,0,0,0,Matches,,,,,,,,
643,Jonjo Shelvey,eng ENG,MF,Burnley,32,1992,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
644,Louie Sibley,eng ENG,MF,Oxford United,22,2001,1.9,1,5,2,40,2.65,1.06,0.2,0.5,0,0,Matches,,,,,,,,
645,Sol Sidibé,eng ENG,MF,Stoke City,17,2007,3.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
646,Francisco Sierralta,cl CHI,DF,Watford,27,1997,21.1,0,9,3,33.3,0.43,0.14,0,0,0,0,Matches,,,,,,,,
647,Arnór Sigurðsson,is ISL,"FW,MF",Blackburn Rovers,25,1999,0.7,1,2,1,50,2.9,1.45,0.5,1,0,0,Matches,,,,,,,,
648,Sam Silvera,au AUS,MF,Portsmouth,23,2000,5,0,7,4,57.1,1.41,0.81,0,0,0,0,Matches,,,,,,,,
649,Ellis Simms,eng ENG,FW,Coventry City,23,2001,25.4,6,62,28,45.2,2.44,1.1,0.1,0.21,0,1,Matches,,,,,,,,
650,Xavier Simons,eng ENG,MF,Hull City,21,2003,13.4,2,16,4,25,1.19,0.3,0.13,0.5,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
651,Nathan Simpson,eng ENG,MF,Middlesbrough,20,2004,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
652,Emmanouil Siopis,gr GRE,MF,Cardiff City,30,1994,16,0,10,2,20,0.62,0.12,0,0,0,0,Matches,,,,,,,,
