,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
157,Sonny Cox,eng ENG,FW,Exeter City,19,2004,23,7,774,8.6,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
158,Matthew Craig,sct SCO,MF,Mansfield Town,21,2003,5,4,276,3.1,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
159,Matthew Craig,sct SCO,MF,Barnsley,21,2003,14,10,793,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Michael Craig,sct SCO,DF,Reading,21,2003,30,29,"2,564",28.5,2,0,2,2,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
161,Tristan Crama,fr FRA,DF,Exeter City,22,2001,22,22,"1,915",21.3,3,0,3,3,0,0,4,0,0.14,0,0.14,0.14,0.14,Matches
162,Max Crocombe,nz NZL,GK,Burton Albion,30,1993,43,43,"3,870",43,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
163,Jack Currie,eng ENG,DF,Leyton Orient,21,2002,36,34,"2,998",33.3,0,2,2,0,0,0,3,1,0,0.06,0.06,0,0.06,Matches
164,Sam Curtis,ie IRL,"DF,MF",Peterborough United,18,2005,17,10,909,10.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
165,James Dadge,eng ENG,GK,Northampton Town,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Sam Dalby,eng ENG,FW,Wrexham,24,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Owen Dale,eng ENG,MF,Wigan Athletic,25,1998,17,15,"1,285",14.3,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
168,Ronan Darcy,eng ENG,"MF,FW",Crawley Town,23,2000,21,19,"1,655",18.4,1,5,6,1,0,0,4,0,0.05,0.27,0.33,0.05,0.33,Matches
169,Ronan Darcy,eng ENG,"MF,FW",Wigan Athletic,23,2000,13,8,724,8,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
170,Tendayi Darikwa,zw ZIM,"MF,DF",Lincoln City,32,1991,44,44,"3,819",42.4,5,4,9,5,0,0,8,0,0.12,0.09,0.21,0.12,0.21,Matches
171,Ben Davies,eng ENG,DF,Birmingham City,28,1995,35,32,"2,961",32.9,1,1,2,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matches
172,Cameron Dawson,eng ENG,GK,Rotherham United,29,1995,14,14,"1,251",13.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
173,Jón Daði Böðvarsson,is ISL,FW,Burton Albion,32,1992,13,11,820,9.1,5,1,6,5,0,0,0,0,0.55,0.11,0.66,0.55,0.66,Matches
174,Jón Daði Böðvarsson,is ISL,FW,Wrexham,32,1992,4,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Ryan De Havilland,eng ENG,MF,Peterborough United,23,2001,27,15,"1,482",16.5,2,0,2,2,0,0,4,0,0.12,0,0.12,0.12,0.12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Harlee Dean,eng ENG,DF,Reading,33,1991,19,7,737,8.2,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
177,Tom Dean,eng ENG,MF,Exeter City,18,2005,3,2,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Finn Delap,eng ENG,DF,Burton Albion,19,2005,5,3,265,2.9,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
179,Siriki Dembélé,ci CIV,MF,Birmingham City,27,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Kyle Dempsey,eng ENG,MF,Bolton Wanderers,28,1995,15,8,737,8.2,3,2,5,3,0,0,2,0,0.37,0.24,0.61,0.37,0.61,Matches
181,Ollie Dewsbury,wls WAL,FW,Bristol Rovers,16,2008,6,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Cheick Diabate,eng ENG,"MF,DF",Exeter City,22,2002,4,2,231,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
183,Jack Diamond,eng ENG,MF,Stockport,24,2000,33,16,"1,629",18.1,5,2,7,5,0,0,3,0,0.28,0.11,0.39,0.28,0.39,Matches
184,Matt Dibley-Dias,nz NZL,MF,Northampton Town,20,2004,2,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Paul Digby,eng ENG,MF,Cambridge United,29,1995,31,27,"2,406",26.7,1,0,1,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
186,Ricardo Dinanga,ie IRL,FW,Shrewsbury Town,22,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Kaheim Dixon,jm JAM,FW,Charlton Athletic,19,2004,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,George Dobson,eng ENG,MF,Wrexham,26,1997,42,38,"3,250",36.1,1,5,6,1,0,0,10,0,0.03,0.14,0.17,0.03,0.17,Matches
189,Neo Dobson,,FW,Northampton Town,,,4,0,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
190,Greg Docherty,sct SCO,MF,Charlton Athletic,27,1996,40,37,"3,160",35.1,4,2,6,4,0,0,6,1,0.11,0.06,0.17,0.11,0.17,Matches
191,Owen Dodgson,eng ENG,"MF,DF",Burton Albion,21,2003,22,21,"1,872",20.8,1,4,5,1,0,0,10,0,0.05,0.19,0.24,0.05,0.24,Matches
192,Jamie Donley,nir NIR,MF,Leyton Orient,19,2005,39,31,"2,757",30.6,8,10,18,8,0,0,3,0,0.26,0.33,0.59,0.26,0.59,Matches
193,Romelle Donovan,eng ENG,MF,Burton Albion,17,2006,6,1,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,James Dornelly,eng ENG,DF,Peterborough United,19,2005,27,19,"1,675",18.6,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
195,Jeriel Dorsett,ms MSR,DF,Reading,22,2002,14,11,816,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Hamish Douglas,eng ENG,MF,Rotherham United,19,2005,2,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
197,Kieran Dowell,eng ENG,MF,Birmingham City,26,1997,19,17,"1,459",16.2,5,4,9,3,2,2,2,0,0.31,0.25,0.56,0.19,0.43,Matches
198,Kamari Doyle,eng ENG,"MF,FW",Exeter City,18,2005,20,10,823,9.1,3,0,3,3,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
199,Kamari Doyle,eng ENG,"FW,MF",Crawley Town,18,2005,21,15,"1,305",14.5,7,4,11,7,0,0,0,0,0.48,0.28,0.76,0.48,0.76,Matches
200,Freddie Draper,eng ENG,FW,Lincoln City,20,2004,38,10,"1,277",14.2,4,0,4,3,1,1,3,0,0.28,0,0.28,0.21,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Dylan Duffy,ie IRL,MF,Lincoln City,21,2002,8,3,301,3.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
202,Paul Dummett,wls WAL,DF,Wigan Athletic,32,1991,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Dom Dwyer,us USA,FW,Mansfield Town,34,1990,9,5,439,4.9,4,1,5,4,0,0,0,0,0.82,0.21,1.03,0.82,1.03,Matches
204,Max Dyche,eng ENG,DF,Northampton Town,21,2003,20,13,"1,331",14.8,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
205,Josiah Dyer,ms MSR,FW,Barnsley,19,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Lyndon Dykes,sct SCO,"FW,MF",Birmingham City,28,1995,25,9,941,10.5,1,0,1,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
207,Josh Earl,eng ENG,DF,Barnsley,25,1998,34,34,"2,925",32.5,2,4,6,2,0,0,7,0,0.06,0.12,0.18,0.06,0.18,Matches
208,Tom Eaves,eng ENG,FW,Northampton Town,32,1992,23,14,"1,364",15.2,5,2,7,5,0,0,4,1,0.33,0.13,0.46,0.33,0.46,Matches
209,Neo Eccleston,eng ENG,DF,Huddersfield Town,20,2003,3,2,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Rarmani Edmonds-Green,eng ENG,DF,Leyton Orient,25,1999,17,16,"1,469",16.3,0,2,2,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
211,Rarmani Edmonds-Green,eng ENG,DF,Charlton Athletic,25,1999,11,5,557,6.2,1,0,1,1,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
212,Tayo Edun,eng ENG,DF,Peterborough United,26,1998,17,17,"1,465",16.3,2,2,4,2,0,0,5,2,0.12,0.12,0.25,0.12,0.25,Matches
213,Joshua Edwards,eng ENG,"DF,MF",Charlton Athletic,24,2000,38,38,"3,132",34.8,1,5,6,1,0,0,5,0,0.03,0.14,0.17,0.03,0.17,Matches
214,Kyle Edwards,eng ENG,MF,Stevenage,26,1998,8,5,340,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Kelvin Ehibhatiomhan,eng ENG,FW,Reading,21,2003,33,27,"2,236",24.8,4,3,7,4,0,0,6,1,0.16,0.12,0.28,0.16,0.28,Matches
216,Ben Elliott,cm CMR,MF,Reading,21,2002,19,17,"1,476",16.4,2,5,7,2,0,0,4,0,0.12,0.3,0.43,0.12,0.43,Matches
217,Elliot Embleton,eng ENG,MF,Blackpool,25,1999,15,4,481,5.3,0,1,1,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches
218,Isaac England,,DF,Shrewsbury Town,,,2,0,14,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
219,Niall Ennis,eng ENG,FW,Blackpool,25,1999,19,17,"1,417",15.7,7,2,9,7,0,0,0,0,0.44,0.13,0.57,0.44,0.57,Matches
220,Kai Enslin,jp JPN,MF,Charlton Athletic,18,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Ethan Erhahon,sct SCO,MF,Lincoln City,23,2001,31,28,"2,401",26.7,0,1,1,0,0,0,8,1,0,0.04,0.04,0,0.04,Matches
222,Kion Etete,eng ENG,FW,Bolton Wanderers,22,2001,5,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Antony Evans,eng ENG,MF,Huddersfield Town,25,1998,34,21,"1,952",21.7,2,5,7,2,0,0,7,0,0.09,0.23,0.32,0.09,0.32,Matches
224,George Evans,eng ENG,MF,Wrexham,29,1994,7,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
225,Lee Evans,wls WAL,MF,Blackpool,30,1994,42,40,"3,520",39.1,4,5,9,1,3,3,11,0,0.1,0.13,0.23,0.03,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Will Evans,wls WAL,FW,Mansfield Town,27,1997,40,35,"3,039",33.8,13,3,16,13,0,0,5,0,0.38,0.09,0.47,0.38,0.47,Matches
227,Timothy Eyoma,eng ENG,DF,Northampton Town,24,2000,24,17,"1,630",18.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
228,Mo Faal,eng ENG,FW,Wrexham,21,2003,8,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
229,Conor Falls,nir NIR,MF,Huddersfield Town,20,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Neil Farrugia,ie IRL,MF,Barnsley,25,1999,9,6,499,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
231,Rory Feely,ie IRL,DF,Crawley Town,27,1997,7,2,186,2.1,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
232,Josh Feeney,eng ENG,DF,Shrewsbury Town,19,2005,37,35,"3,134",34.8,1,2,3,1,0,0,5,1,0.03,0.06,0.09,0.03,0.09,Matches
233,Morgan Feeney,eng ENG,DF,Shrewsbury Town,25,1999,36,34,"2,962",32.9,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches
234,Emmanuel Fernandez,eng ENG,DF,Peterborough United,22,2001,30,27,"2,377",26.4,5,0,5,5,0,0,9,2,0.19,0,0.19,0.19,0.19,Matches
235,Jayden Fevrier,eng ENG,MF,Stockport,21,2003,25,11,"1,042",11.6,3,3,6,3,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches
236,Ryan Finnigan,eng ENG,MF,Blackpool,20,2003,8,2,207,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
237,Lewis Fiorini,sct SCO,MF,Stockport,22,2002,11,4,307,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
238,Sonny Fish,eng ENG,FW,Crawley Town,20,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Jack Fitzwater,eng ENG,DF,Exeter City,26,1997,16,13,"1,103",12.3,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
240,Kieran Flavell,eng ENG,GK,Barnsley,20,2003,7,6,617,6.9,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
241,Ashley Fletcher,eng ENG,FW,Blackpool,28,1995,41,32,"2,476",27.5,11,8,19,11,0,0,0,1,0.4,0.29,0.69,0.4,0.69,Matches
242,Steven Fletcher,sct SCO,FW,Wrexham,37,1987,40,2,"1,083",12,8,1,9,6,2,2,6,0,0.66,0.08,0.75,0.5,0.58,Matches
243,Scott Flinders,eng ENG,GK,Mansfield Town,38,1986,8,7,690,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Aden Flint,eng ENG,DF,Mansfield Town,35,1989,36,14,"1,500",16.7,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
245,Josh Flint,eng ENG,DF,Crawley Town,23,2000,16,15,"1,303",14.5,0,1,1,0,0,0,5,1,0,0.07,0.07,0,0.07,Matches
246,Michael Forbes,nir NIR,DF,Bristol Rovers,20,2004,7,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
247,Anthony Forde,ie IRL,MF,Burton Albion,30,1993,11,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Shaqai Forde,eng ENG,"MF,FW",Bristol Rovers,20,2004,31,14,"1,487",16.5,2,3,5,2,0,0,5,2,0.12,0.18,0.3,0.12,0.3,Matches
249,William Forrester,eng ENG,DF,Bolton Wanderers,23,2001,23,18,"1,713",19,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
250,Harry Forster,eng ENG,"MF,DF",Crawley Town,24,2000,25,16,"1,457",16.2,2,2,4,2,0,0,3,0,0.12,0.12,0.25,0.12,0.25,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Jake Forster-Caskey,eng ENG,MF,Stevenage,30,1994,3,1,45,0.5,0,1,1,0,0,0,0,0,0,2,2,0,2,Matches
252,Tariqe Fosu,gh GHA,"MF,FW",Northampton Town,28,1995,34,17,"1,631",18.1,4,2,6,4,0,1,3,0,0.22,0.11,0.33,0.22,0.33,Matches
253,Ben Fox,eng ENG,MF,Northampton Town,26,1998,13,10,818,9.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
254,Ed Francis,eng ENG,"MF,DF",Exeter City,24,1999,42,34,"3,019",33.5,2,6,8,2,0,0,5,1,0.06,0.18,0.24,0.06,0.24,Matches
255,Tyrese Francois,au AUS,MF,Wigan Athletic,24,2000,5,4,309,3.4,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
256,Liam Fraser,ca CAN,MF,Crawley Town,26,1998,16,15,"1,328",14.8,0,2,2,0,0,0,4,0,0,0.14,0.14,0,0.14,Matches
257,Nick Freeman,eng ENG,"DF,MF",Stevenage,28,1995,29,13,"1,307",14.5,0,2,2,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
258,Lewis Freestone,eng ENG,DF,Stevenage,24,1999,26,20,"2,034",22.6,0,1,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches
259,Ibrahim Fullah,eng ENG,MF,Charlton Athletic,17,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Jordan Gabriel,eng ENG,DF,Blackpool,25,1998,30,13,"1,382",15.4,0,3,3,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
261,Ethan Galbraith,nir NIR,"MF,DF",Leyton Orient,23,2001,39,37,"3,333",37,6,6,12,6,0,0,7,0,0.16,0.16,0.32,0.16,0.32,Matches
262,Dominic Gape,eng ENG,MF,Shrewsbury Town,29,1994,16,14,"1,144",12.7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
263,Andre Garcia,,"DF,FW",Reading,,,38,29,"2,411",26.8,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
264,Che Gardner,,MF,Stockport,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Joe Gardner,eng ENG,MF,Lincoln City,19,2005,11,4,362,4,1,0,1,1,0,0,0,1,0.25,0,0.25,0.25,0.25,Matches
266,Taylor Gardner-Hickman,eng ENG,"MF,DF",Birmingham City,22,2001,33,22,"1,892",21,3,2,5,3,0,0,7,0,0.14,0.1,0.24,0.14,0.24,Matches
267,Jake Garrett,eng ENG,MF,Bristol Rovers,21,2003,7,3,309,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
268,Joe Gauci,au AUS,GK,Barnsley,24,2000,7,7,614,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Georgie Gent,eng ENG,MF,Barnsley,20,2003,25,19,"1,487",16.5,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
270,Maël Durand de Gevigney,fr FRA,DF,Barnsley,24,1999,39,39,"3,417",38,0,0,0,0,0,0,6,2,0,0,0,0,0,Matches
271,James Gibbons,eng ENG,"DF,MF",Cambridge United,26,1998,29,23,"2,012",22.4,1,0,1,1,0,0,6,1,0.04,0,0.04,0.04,0.04,Matches
272,Alexander Gilbert,ie IRL,MF,Charlton Athletic,22,2001,12,2,305,3.4,0,4,4,0,0,0,2,0,0,1.18,1.18,0,1.18,Matches
273,Macaulay Gillesphey,eng ENG,DF,Charlton Athletic,28,1995,44,43,"3,881",43.1,5,3,8,5,0,0,3,0,0.12,0.07,0.19,0.12,0.19,Matches
274,Alex Gilliead,eng ENG,MF,Shrewsbury Town,28,1996,42,37,"3,251",36.1,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
275,Ciaran Gilligan,eng ENG,MF,Burton Albion,22,2002,12,8,672,7.5,0,1,1,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Brodie Gilmore,nir NIR,"DF,MF",Huddersfield Town,20,2004,33,28,"2,531",28.1,3,2,5,3,0,0,11,0,0.11,0.07,0.18,0.11,0.18,Matches
277,Matthew Godden,eng ENG,FW,Charlton Athletic,33,1991,41,29,"2,510",27.9,18,1,19,15,3,3,1,0,0.65,0.04,0.68,0.54,0.57,Matches
278,Charlie Goode,eng ENG,DF,Stevenage,28,1995,21,17,"1,521",16.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
279,Will Goodwin,eng ENG,FW,Wigan Athletic,22,2002,6,2,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
280,Daniel Gore,eng ENG,MF,Rotherham United,19,2004,3,1,149,1.7,0,1,1,0,0,0,0,0,0,0.6,0.6,0,0.6,Matches
281,Jordan Graham,eng ENG,"FW,MF",Leyton Orient,29,1995,8,0,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Kieran Graham,eng ENG,MF,Barnsley,16,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
283,André Green,eng ENG,"MF,FW",Rotherham United,26,1998,13,8,681,7.6,3,4,7,3,0,0,0,0,0.4,0.53,0.93,0.4,0.93,Matches
284,Lee Gregory,eng ENG,FW,Mansfield Town,35,1988,20,17,"1,338",14.9,10,0,10,7,3,4,3,0,0.67,0,0.67,0.47,0.47,Matches
285,Joshua Griffiths,eng ENG,GK,Bristol Rovers,22,2001,28,28,"2,520",28,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
286,Jack Grimmer,sct SCO,DF,Wycombe Wanderers,30,1994,37,32,"2,706",30.1,0,2,2,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
287,Daniel Grimshaw,eng ENG,GK,Blackpool,26,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Nesta Guinness-Walker,eng ENG,"DF,MF",Northampton Town,24,1999,27,23,"2,074",23,1,2,3,1,0,0,3,1,0.04,0.09,0.13,0.04,0.13,Matches
289,Jon Guthrie,eng ENG,DF,Northampton Town,32,1992,24,24,"2,109",23.4,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches
290,Reeco Hackett-Fairchild,lc LCA,MF,Lincoln City,26,1998,33,23,"2,109",23.4,4,3,7,4,0,1,4,0,0.17,0.13,0.3,0.17,0.3,Matches
291,Anders Hagelskjær,dk DEN,DF,Wycombe Wanderers,27,1997,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Tom Hamer,eng ENG,DF,Lincoln City,24,1999,23,14,"1,363",15.1,2,1,3,2,0,0,1,0,0.13,0.07,0.2,0.13,0.2,Matches
293,CJ Hamilton,ie IRL,MF,Blackpool,29,1995,34,22,"2,109",23.4,3,5,8,3,0,0,1,0,0.13,0.21,0.34,0.13,0.34,Matches
294,Ethan Hamilton,sct SCO,MF,Lincoln City,25,1998,32,16,"1,549",17.2,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06,Matches
295,Micah Hamilton,eng ENG,MF,Stockport,20,2003,5,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Brandon Hanlan,eng ENG,FW,Wycombe Wanderers,27,1997,8,1,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Brandon Hanlan,eng ENG,FW,Stevenage,27,1997,16,12,"1,036",11.5,2,0,2,2,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
298,Grant Hanley,sct SCO,DF,Birmingham City,32,1991,14,3,302,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
299,Emil Hansson,se SWE,MF,Birmingham City,26,1998,20,12,913,10.1,1,2,3,1,0,0,0,0,0.1,0.2,0.3,0.1,0.3,Matches
300,Dan Happe,eng ENG,DF,Leyton Orient,25,1998,25,24,"2,015",22.4,2,2,4,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Vincent Harper,ke KEN,"MF,DF",Exeter City,23,2000,22,10,994,11,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
302,Kian Harratt,eng ENG,FW,Huddersfield Town,22,2002,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Luke Harris,wls WAL,MF,Birmingham City,19,2005,29,10,"1,024",11.4,3,1,4,3,0,0,5,0,0.26,0.09,0.35,0.26,0.35,Matches
304,Alex Hartridge,eng ENG,DF,Exeter City,25,1999,18,18,"1,620",18,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Matches
305,Alex Hartridge,eng ENG,DF,Wycombe Wanderers,25,1999,6,5,418,4.6,0,1,1,0,0,0,3,1,0,0.22,0.22,0,0.22,Matches
306,Daniel Harvie,sct SCO,DF,Wycombe Wanderers,26,1998,30,30,"2,566",28.5,1,4,5,1,0,0,5,0,0.04,0.14,0.18,0.04,0.18,Matches
307,Cian Hayes,ie IRL,MF,Peterborough United,21,2003,34,14,"1,572",17.5,3,2,5,3,0,0,1,0,0.17,0.11,0.29,0.17,0.29,Matches
308,Jack Hazlehurst,eng ENG,MF,Burton Albion,24,1999,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
309,Jaheim Headley,eng ENG,MF,Huddersfield Town,22,2001,7,3,316,3.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
310,Rhys Healey,wls WAL,FW,Huddersfield Town,29,1994,9,2,290,3.2,1,0,1,1,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
311,Michał Helik,pl POL,DF,Huddersfield Town,28,1995,17,15,"1,344",14.9,2,0,2,2,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches
312,Zachary Hemming,eng ENG,GK,Leyton Orient,24,2000,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
313,Rushian Hepburn-Murphy,eng ENG,"FW,MF",Crawley Town,25,1998,42,27,"2,548",28.3,10,4,14,9,1,1,1,1,0.35,0.14,0.49,0.32,0.46,Matches
314,Elliott Hewitt,wls WAL,"MF,DF",Mansfield Town,30,1994,34,30,"2,460",27.3,0,4,4,0,0,0,6,0,0,0.15,0.15,0,0.15,Matches
