,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
315,Brad Hills,eng ENG,DF,Stockport,20,2004,16,15,"1,335",14.8,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
316,Ben Hinchliffe,eng ENG,GK,Stockport,35,1988,19,18,"1,619",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
317,George Hoddle,,MF,Cambridge United,,,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Joseph Hodge,ie IRL,MF,Huddersfield Town,21,2002,27,13,"1,196",13.3,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
319,Jonathan Hogg,eng ENG,MF,Huddersfield Town,35,1988,34,19,"1,833",20.4,1,0,1,1,0,0,8,0,0.05,0,0.05,0.05,0.05,Matches
320,Jack Holmes,eng ENG,"MF,FW",Rotherham United,22,2001,28,3,615,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Gavan Holohan,ie IRL,"FW,MF",Crawley Town,32,1991,20,4,484,5.4,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches
322,Louie Holzman,eng ENG,DF,Reading,20,2003,9,3,301,3.3,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
323,William Hondermarck,cg CGO,MF,Northampton Town,23,2000,33,12,"1,358",15.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
324,Luca Hoole,wls WAL,"DF,MF",Shrewsbury Town,22,2002,39,36,"3,210",35.7,1,2,3,1,0,0,6,0,0.03,0.06,0.08,0.03,0.08,Matches
325,Fraser Horsfall,eng ENG,DF,Stockport,27,1996,29,26,"2,261",25.1,2,1,3,2,0,0,8,1,0.08,0.04,0.12,0.08,0.12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Sam Hoskins,eng ENG,"MF,FW",Northampton Town,31,1993,37,32,"2,835",31.5,7,1,8,5,2,3,6,0,0.22,0.03,0.25,0.16,0.19,Matches
327,Conor Hourihane,ie IRL,MF,Barnsley,33,1991,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Ben House,eng ENG,"FW,MF",Lincoln City,25,1999,41,34,"2,635",29.3,6,3,9,6,0,0,12,0,0.2,0.1,0.31,0.2,0.31,Matches
329,Mark Howard,eng ENG,GK,Wrexham,37,1986,10,9,878,9.8,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
330,Charlie Hughes,eng ENG,DF,Wigan Athletic,20,2003,1,0,18,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
331,Sam Hughes,eng ENG,DF,Stockport,27,1997,8,3,313,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
332,Sam Hughes,eng ENG,DF,Peterborough United,27,1997,19,19,"1,682",18.7,1,0,1,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
333,Joe Hugill,eng ENG,FW,Wigan Athletic,20,2003,13,8,598,6.6,3,0,3,3,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
334,Jordan Hugill,eng ENG,FW,Rotherham United,32,1992,28,7,863,9.6,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
335,Cameron Humphreys,eng ENG,"DF,MF",Rotherham United,25,1998,40,39,"3,444",38.3,2,1,3,2,0,0,4,0,0.05,0.03,0.08,0.05,0.08,Matches
336,Cameron Humphreys,eng ENG,MF,Wycombe Wanderers,20,2003,42,40,"3,355",37.3,7,6,13,7,0,0,0,0,0.19,0.16,0.35,0.19,0.35,Matches
337,Stephen Humphrys,eng ENG,"FW,MF",Barnsley,26,1997,37,26,"2,282",25.4,9,2,11,9,0,0,3,0,0.35,0.08,0.43,0.35,0.43,Matches
338,Joseph Hungbo,eng ENG,"MF,FW",Rotherham United,24,2000,13,5,488,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
339,Joseph Hungbo,eng ENG,MF,Wigan Athletic,24,2000,11,5,486,5.4,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
340,Jack Hunt,eng ENG,"DF,MF",Bristol Rovers,33,1990,20,16,"1,399",15.5,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
341,James Husband,eng ENG,DF,Blackpool,30,1994,34,31,"2,663",29.6,3,1,4,3,0,0,8,0,0.1,0.03,0.14,0.1,0.14,Matches
342,Isaac Hutchinson,eng ENG,MF,Bristol Rovers,24,2000,37,22,"2,023",22.5,4,2,6,4,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches
343,Luke Hutchinson,eng ENG,GK,Crawley Town,,,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
344,Danny Hylton,eng ENG,FW,Charlton Athletic,35,1989,6,0,60,0.7,1,0,1,1,0,0,1,0,1.5,0,1.5,1.5,1.5,Matches
345,Bradley Ibrahim,eng ENG,MF,Crawley Town,19,2004,33,24,"2,183",24.3,2,0,2,2,0,0,14,0,0.08,0,0.08,0.08,0.08,Matches
346,Zeno Ibsen Rossi,eng ENG,DF,Cambridge United,23,2000,15,12,"1,150",12.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
347,Bradley Ihionvien,eng ENG,FW,Peterborough United,20,2003,11,5,486,5.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
348,Sam Inwood,nir NIR,DF,Bolton Wanderers,18,2005,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
349,Tom Iorpenda,eng ENG,MF,Huddersfield Town,19,2005,5,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
350,Jack Iredale,au AUS,DF,Bolton Wanderers,28,1996,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Harvey Isted,eng ENG,GK,Burton Albion,27,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Tomoki Iwata,jp JPN,MF,Birmingham City,27,1997,40,38,"3,311",36.8,6,1,7,6,0,0,7,0,0.16,0.03,0.19,0.16,0.19,Matches
353,Adam Jackson,eng ENG,DF,Lincoln City,30,1994,27,26,"2,242",24.9,2,2,4,2,0,0,6,1,0.08,0.08,0.16,0.08,0.16,Matches
354,Ricky Jade-Jones,eng ENG,FW,Peterborough United,23,2001,46,34,"3,023",33.6,10,3,13,9,1,1,3,0,0.3,0.09,0.39,0.27,0.36,Matches
355,Diallang Jaiyesimi,eng ENG,MF,Leyton Orient,26,1998,28,4,674,7.5,1,1,2,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27,Matches
356,Fabio Jalo,pt POR,"MF,FW",Barnsley,18,2005,16,5,602,6.7,2,2,4,2,0,0,4,0,0.3,0.3,0.6,0.3,0.6,Matches
357,Matty James,eng ENG,MF,Wrexham,33,1991,32,30,"2,689",29.9,2,3,5,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,Matches
358,Reece James,eng ENG,DF,Rotherham United,30,1993,43,42,"3,597",40,2,2,4,2,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches
359,Tom James,wls WAL,DF,Leyton Orient,28,1996,22,17,"1,455",16.2,2,3,5,2,0,0,7,0,0.12,0.19,0.31,0.12,0.31,Matches
360,Zach Jeacock,eng ENG,GK,Lincoln City,23,2001,11,10,916,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
361,Dominic Jefferies,wls WAL,MF,Lincoln City,22,2002,34,24,"2,078",23.1,3,3,6,3,0,0,4,0,0.13,0.13,0.26,0.13,0.26,Matches
362,Tyreece John-Jules,eng ENG,"FW,MF",Crawley Town,23,2001,25,10,"1,112",12.4,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
363,Carl Johnston,nir NIR,DF,Peterborough United,22,2002,20,13,"1,266",14.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
364,George Johnston,sct SCO,DF,Bolton Wanderers,25,1998,38,37,"3,241",36,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
365,Gethin Jones,au AUS,"DF,MF",Bolton Wanderers,28,1995,23,16,"1,516",16.8,0,1,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
366,James Jones,sct SCO,MF,Burton Albion,28,1996,4,1,154,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
367,James Jones,sct SCO,"DF,MF",Wrexham,28,1996,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Jordan Jones,nir NIR,"FW,MF",Wigan Athletic,29,1994,2,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Lloyd Jones,eng ENG,DF,Charlton Athletic,28,1995,36,35,"3,104",34.5,3,0,3,3,0,0,6,0,0.09,0,0.09,0.09,0.09,Matches
370,Patrick Jones,wls WAL,"MF,DF",Exeter City,21,2003,17,6,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
371,Christian Joseph,lc LCA,DF,Bolton Wanderers,24,2000,16,12,"1,073",11.9,2,0,2,2,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
372,Kyle Joseph,sct SCO,FW,Blackpool,22,2001,24,24,"1,981",22,7,3,10,7,0,0,3,0,0.32,0.14,0.45,0.32,0.45,Matches
373,Zak Jules,sct SCO,DF,Rotherham United,27,1997,22,22,"1,846",20.5,2,0,2,2,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
374,Lukas Jutkiewicz,eng ENG,FW,Birmingham City,35,1989,16,0,222,2.5,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
375,Elias Kachunga,cd COD,"MF,FW",Cambridge United,32,1992,43,31,"2,691",29.9,7,0,7,7,0,0,8,1,0.23,0,0.23,0.23,0.23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Sullay Kaikai,sl SLE,"MF,FW",Cambridge United,28,1995,25,11,"1,163",12.9,4,0,4,4,0,0,4,0,0.31,0,0.31,0.31,0.31,Matches
377,Tomas Kalinauskas,lt LTU,"MF,FW",Burton Albion,24,2000,39,18,"1,849",20.5,1,3,4,1,0,0,4,0,0.05,0.15,0.19,0.05,0.19,Matches
378,Herbie Kane,eng ENG,MF,Huddersfield Town,25,1998,28,21,"1,885",20.9,3,5,8,3,0,0,3,0,0.14,0.24,0.38,0.14,0.38,Matches
379,Abraham Kanu,sl SLE,DF,Reading,18,2005,10,4,433,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Daniel Kanu,sl SLE,"FW,MF",Charlton Athletic,19,2004,17,5,589,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
381,David Kasumu,eng ENG,MF,Huddersfield Town,24,1999,32,27,"2,345",26.1,3,1,4,3,0,0,8,0,0.12,0.04,0.15,0.12,0.15,Matches
382,Jadel Katongo,zm ZAM,DF,Peterborough United,19,2004,17,13,"1,134",12.6,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
383,Amaru Kaunda,,MF,Cambridge United,,,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
384,Joshua Kayode,ng NGA,FW,Rotherham United,31,1992,11,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
385,Joshua Kayode,ng NGA,FW,Shrewsbury Town,31,1992,5,1,156,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
386,Josh Keeley,ie IRL,GK,Leyton Orient,21,2003,36,36,"3,240",36,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
387,Davis Keillor-Dunn,eng ENG,MF,Mansfield Town,26,1997,3,3,239,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Davis Keillor-Dunn,eng ENG,"FW,MF",Barnsley,26,1997,42,42,"3,547",39.4,18,5,23,18,0,0,3,0,0.46,0.13,0.58,0.46,0.58,Matches
389,Jeremy Kelly,us USA,MF,Crawley Town,26,1997,37,32,"2,787",31,3,2,5,3,0,0,2,0,0.1,0.06,0.16,0.1,0.16,Matches
390,Liam Kelly,sct SCO,MF,Rotherham United,34,1990,18,15,"1,313",14.6,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches
391,Charlie Kelman,us USA,"FW,MF",Leyton Orient,22,2001,46,37,"3,389",37.7,21,5,26,20,1,1,4,0,0.56,0.13,0.69,0.53,0.66,Matches
392,Daniel Kemp,eng ENG,MF,Stevenage,25,1999,40,33,"2,972",33,10,4,14,10,0,1,5,0,0.3,0.12,0.42,0.3,0.42,Matches
393,Jason Kerr,sct SCO,DF,Wigan Athletic,27,1997,44,44,"3,960",44,1,0,1,1,0,0,6,0,0.02,0,0.02,0.02,0.02,Matches
394,Rafiq Khaleel,eng ENG,MF,Crawley Town,21,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
395,Brandon Khela,eng ENG,MF,Birmingham City,19,2005,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
396,Alfie Kilgour,eng ENG,DF,Mansfield Town,26,1998,17,7,629,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
397,Ben Killip,eng ENG,GK,Barnsley,28,1995,17,17,"1,530",17,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
398,Eli King,wls WAL,MF,Stevenage,21,2002,28,16,"1,361",15.1,1,3,4,1,0,0,2,0,0.07,0.2,0.26,0.07,0.26,Matches
399,Christoph Klarer,at AUT,DF,Birmingham City,24,2000,43,43,"3,813",42.4,1,3,4,1,0,0,11,0,0.02,0.07,0.09,0.02,0.09,Matches
400,Harvey Knibbs,eng ENG,"MF,FW",Reading,25,1999,43,41,"3,714",41.3,14,6,20,10,4,4,4,0,0.34,0.15,0.48,0.24,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Kyle Knoyle,eng ENG,"DF,MF",Stockport,27,1996,23,15,"1,371",15.2,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
402,Gideon Kodua,eng ENG,"MF,DF",Wycombe Wanderers,19,2004,20,2,376,4.2,2,0,2,2,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
403,Ali Koiki,eng ENG,DF,Northampton Town,24,1999,5,2,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Ronnie Kokkinos,cy CYP,DF,Mansfield Town,18,2006,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
405,Richard Kone,ci CIV,FW,Wycombe Wanderers,21,2003,41,32,"2,745",30.5,18,3,21,14,4,6,4,0,0.59,0.1,0.69,0.46,0.56,Matches
406,Josh Koroma,sl SLE,"FW,MF",Huddersfield Town,25,1998,37,27,"2,400",26.7,11,2,13,10,1,3,2,0,0.41,0.07,0.49,0.37,0.45,Matches
407,Hector Kyprianou,cy CYP,MF,Peterborough United,23,2001,34,27,"2,409",26.8,3,1,4,3,0,0,9,0,0.11,0.04,0.15,0.11,0.15,Matches
408,Freddie Ladapo,eng ENG,FW,Huddersfield Town,31,1993,21,1,467,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Ethan Laird,eng ENG,"DF,MF",Birmingham City,23,2001,35,27,"2,317",25.7,4,4,8,4,0,0,5,0,0.16,0.16,0.31,0.16,0.31,Matches
410,Joshua Laqeretabua,fj FIJ,DF,Charlton Athletic,18,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Julian Larsson,se SWE,"FW,MF",Burton Albion,23,2001,11,6,506,5.6,2,0,2,2,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
412,Shayne Lavery,nir NIR,FW,Cambridge United,25,1998,15,10,885,9.8,5,3,8,5,0,0,2,0,0.51,0.31,0.81,0.51,0.81,Matches
413,Daeshon Lawrence,,MF,Bolton Wanderers,,,2,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
414,Miles Leaburn,eng ENG,FW,Charlton Athletic,20,2003,27,14,"1,346",15,6,2,8,6,0,0,2,0,0.4,0.13,0.53,0.4,0.53,Matches
415,Luke Leahy,eng ENG,"MF,DF",Wycombe Wanderers,31,1992,39,30,"2,726",30.3,4,6,10,4,0,2,6,0,0.13,0.2,0.33,0.13,0.33,Matches
416,Elliot Lee,eng ENG,"MF,FW",Wrexham,29,1994,38,26,"2,374",26.4,8,3,11,8,0,0,3,0,0.3,0.11,0.42,0.3,0.42,Matches
417,Tom Lees,eng ENG,DF,Huddersfield Town,33,1990,29,28,"2,424",26.9,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
418,Dexter Lembikisa,jm JAM,"MF,DF",Barnsley,20,2003,12,3,413,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Marc Leonard,sct SCO,MF,Birmingham City,22,2001,35,14,"1,477",16.4,0,4,4,0,0,0,2,0,0,0.24,0.24,0,0.24,Matches
420,Aaron Lewis,wls WAL,MF,Mansfield Town,26,1998,42,22,"2,252",25,2,1,3,2,0,0,9,0,0.08,0.04,0.12,0.08,0.12,Matches
421,Jonathan Lewis,us USA,"FW,MF",Barnsley,27,1997,5,0,56,0.6,1,0,1,1,0,0,0,0,1.61,0,1.61,1.61,1.61,Matches
422,Kiantay Licorish-Mullings,eng ENG,DF,Northampton Town,17,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Gustav Lindgren,se SWE,FW,Peterborough United,22,2001,13,8,647,7.2,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
424,Jamie Lindsay,sct SCO,MF,Bristol Rovers,28,1995,28,18,"1,531",17,2,0,2,2,0,0,7,1,0.12,0,0.12,0.12,0.12,Matches
425,Harvey Lintott,eng ENG,DF,Northampton Town,21,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Elliott List,eng ENG,"MF,FW",Stevenage,27,1997,39,15,"1,599",17.8,4,1,5,4,0,0,2,0,0.23,0.06,0.28,0.23,0.28,Matches
427,George Lloyd,eng ENG,FW,Shrewsbury Town,24,2000,44,34,"2,998",33.3,5,3,8,5,0,0,6,0,0.15,0.09,0.24,0.15,0.24,Matches
428,Thimothee Lo Tutala,fr FRA,GK,Crawley Town,21,2003,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
429,Ryan Loft,eng ENG,FW,Cambridge United,26,1997,32,18,"1,532",17,2,1,3,2,0,0,9,1,0.12,0.06,0.18,0.12,0.18,Matches
430,Kyran Lofthouse,eng ENG,"MF,FW",Barnsley,23,2000,18,3,385,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
431,Kyran Lofthouse,eng ENG,MF,Burton Albion,23,2000,16,14,"1,272",14.1,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
432,Klaidi Lolos,gr GRE,"MF,FW",Bolton Wanderers,22,2001,24,8,841,9.3,2,2,4,2,0,0,5,0,0.21,0.21,0.43,0.21,0.43,Matches
433,Emmanuel Longelo,eng ENG,"MF,FW",Cambridge United,23,2000,15,3,362,4,1,2,3,1,0,0,0,0,0.25,0.5,0.75,0.25,0.75,Matches
434,Ryan Longman,eng ENG,MF,Wrexham,23,2000,19,14,"1,236",13.7,1,4,5,1,0,0,2,0,0.07,0.29,0.36,0.07,0.36,Matches
435,Nigel Lonwijk,nl NED,DF,Huddersfield Town,21,2002,21,21,"1,699",18.9,1,1,2,1,0,0,8,0,0.05,0.05,0.11,0.05,0.11,Matches
436,Jack Loughran,,MF,Shrewsbury Town,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Joseph Low,wls WAL,DF,Wycombe Wanderers,22,2002,38,36,"3,240",36,4,0,4,4,0,0,7,0,0.11,0,0.11,0.11,0.11,Matches
438,Alexander lowry,sct SCO,"MF,FW",Wycombe Wanderers,21,2003,9,2,268,3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
439,Beryly Lubala,cd COD,MF,Wycombe Wanderers,26,1998,27,13,"1,176",13.1,4,0,4,4,0,0,4,0,0.31,0,0.31,0.31,0.31,Matches
440,Andy Lyons,ie IRL,"DF,MF",Blackpool,23,2000,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
441,Alex MacDonald,sct SCO,"MF,DF",Rotherham United,34,1990,15,8,612,6.8,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
442,Angus MacDonald,eng ENG,DF,Exeter City,31,1992,15,14,"1,266",14.1,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
443,Calum MacDonald,eng ENG,"MF,DF",Mansfield Town,26,1997,6,3,245,2.7,1,0,1,1,0,0,1,0,0.37,0,0.37,0.37,0.37,Matches
444,Josh Magennis,nir NIR,FW,Exeter City,33,1990,40,35,"3,099",34.4,6,2,8,5,1,2,3,0,0.17,0.06,0.23,0.15,0.2,Matches
445,Tyler Magloire,eng ENG,DF,Northampton Town,25,1998,21,6,644,7.2,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
446,Jovon Makama,eng ENG,"FW,MF",Lincoln City,20,2004,38,29,"2,290",25.4,7,6,13,7,0,0,5,0,0.28,0.24,0.51,0.28,0.51,Matches
447,Udoka Malife,eng ENG,"DF,MF",Burton Albion,24,2000,42,39,"3,494",38.8,1,3,4,1,0,0,4,0,0.03,0.08,0.1,0.03,0.1,Matches
448,Scott Malone,eng ENG,MF,Crawley Town,33,1991,2,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
449,Scott Malone,eng ENG,DF,Cambridge United,33,1991,8,6,469,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
450,William Mannion,eng ENG,GK,Charlton Athletic,26,1998,28,27,"2,475",27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,George Maris,eng ENG,"MF,FW",Mansfield Town,28,1996,27,17,"1,395",15.5,4,1,5,4,0,0,2,0,0.26,0.06,0.32,0.26,0.32,Matches
452,Dilan Markanday,eng ENG,MF,Leyton Orient,22,2001,16,13,879,9.8,3,1,4,3,0,0,0,0,0.31,0.1,0.41,0.31,0.41,Matches
453,Marko Maroši,sk SVK,GK,Cambridge United,30,1993,2,2,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,John Marquis,eng ENG,FW,Shrewsbury Town,32,1992,40,34,"2,878",32,11,1,12,9,2,5,5,1,0.34,0.03,0.38,0.28,0.31,Matches
455,Jack Marriott,eng ENG,FW,Wrexham,29,1994,26,9,808,9,6,0,6,6,0,0,0,0,0.67,0,0.67,0.67,0.67,Matches
456,Aiden Marsh,eng ENG,FW,Barnsley,21,2003,7,0,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Callum Marshall,nir NIR,"FW,MF",Huddersfield Town,19,2004,43,31,"2,673",29.7,9,3,12,9,0,0,1,1,0.3,0.1,0.4,0.3,0.4,Matches
458,Chris Martin,sct SCO,FW,Bristol Rovers,35,1988,23,16,"1,546",17.2,5,4,9,3,2,2,5,0,0.29,0.23,0.52,0.17,0.41,Matches
459,Owen Mason,ie IRL,GK,Mansfield Town,20,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
460,Jay Matete,eng ENG,MF,Bolton Wanderers,23,2001,35,18,"1,802",20,3,1,4,3,0,0,9,0,0.15,0.05,0.2,0.15,0.2,Matches
461,Alfie May,eng ENG,"FW,MF",Birmingham City,31,1993,44,27,"2,342",26,16,8,24,15,1,1,3,0,0.61,0.31,0.92,0.58,0.88,Matches
462,Ashley Maynard-Brewer,au AUS,GK,Charlton Athletic,25,1999,19,19,"1,665",18.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
463,Amadou Mbengue,sn SEN,DF,Reading,22,2002,34,33,"2,939",32.7,1,0,1,1,0,0,10,0,0.03,0,0.03,0.03,0.03,Matches
464,Luke Mbete-Tatu,eng ENG,DF,Northampton Town,20,2003,13,9,854,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
465,Micah Mbick,eng ENG,FW,Charlton Athletic,17,2006,4,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
466,John Mcatee,eng ENG,"FW,MF",Bolton Wanderers,25,1999,45,31,"2,789",31,11,3,14,11,0,0,6,0,0.35,0.1,0.45,0.35,0.45,Matches
467,Bayley McCann,nir NIR,MF,Barnsley,18,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
468,Liam McCarron,sct SCO,"MF,FW",Northampton Town,23,2001,16,4,410,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
469,Jamie McCart,sct SCO,DF,Rotherham United,27,1997,16,13,"1,157",12.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
